SpotZoned?,jurisdiction,permitID,permitType,applicant,mapTaxLot,situsAddress,status,submitDate,request
Yes,Deschutes County,247-25-000538-ZC,Zone Change,WILLITTS LLC,1510100000800,"68621 HWY 20 SISTERS, OR 97759",Pending,8/27/25,Zone Change from EFU to MUA10
Yes,Deschutes County,247-24-000840-ZC,Zone Change,MCKENZIE MEADOW VILLAGE LLC,1510050001200,"69095 MCKINNEY RANCH RD SISTERS, OR 97759",Pending,12/24/24,Comprehensive Plan Amendment from Forest to Rural Residential Exception Area
Yes,Deschutes County,247-24-000840-ZC,Zone Change,MCKENZIE MEADOW VILLAGE LLC,1510050001202,"69095 MCKINNEY RANCH RD SISTERS, OR 97759",Pending,12/24/24,Comprehensive Plan Amendment from Forest to Rural Residential Exception Area
Yes,Deschutes County,247-24-000840-ZC,Zone Change,MCKENZIE MEADOW VILLAGE LLC,1510050001203,"69095 MCKINNEY RANCH RD SISTERS, OR 97759",Pending,12/24/24,Comprehensive Plan Amendment from Forest to Rural Residential Exception Area
Yes,Deschutes County,247-24-000840-ZC,Zone Change,MCKENZIE MEADOW VILLAGE LLC,1510050001205,"69095 MCKINNEY RANCH RD SISTERS, OR 97759",Pending,12/24/24,Comprehensive Plan Amendment from Forest to Rural Residential Exception Area
Yes,Deschutes County,247-24-000393-ZC,Zone Change,CASCADES ACADEMY OF CENTRAL OREGON,161231D004200,"64385 OB RILEY RD BEND, OR 97703",Pending,6/25/24,Zone Change: SM to MUA10 & EFU to MUA10
Yes,Deschutes County,247-24-000393-ZC,Zone Change,CASCADES ACADEMY OF CENTRAL OREGON,161231D004300,"64385 OB RILEY RD BEND, OR 97703",Pending,6/25/24,Zone Change: SM to MUA10 & EFU to MUA10
Yes,Deschutes County,247-24-000393-ZC,Zone Change,CASCADES ACADEMY OF CENTRAL OREGON,161231D004400,"64385 OB RILEY RD BEND, OR 97703",Pending,6/25/24,Zone Change: SM to MUA10 & EFU to MUA10
Yes,Deschutes County,247-24-000393-ZC,Zone Change,CASCADES ACADEMY OF CENTRAL OREGON,1712060000300,"64385 OB RILEY RD BEND, OR 97703",Pending,6/25/24,Zone Change: SM to MUA10 & EFU to MUA10
Yes,Deschutes County,247-24-000393-ZC,Zone Change,CASCADES ACADEMY OF CENTRAL OREGON,1712060000301,"64385 OB RILEY RD BEND, OR 97703",Pending,6/25/24,Zone Change: SM to MUA10 & EFU to MUA10
Yes,Deschutes County,247-24-000393-ZC,Zone Change,CASCADES ACADEMY OF CENTRAL OREGON,1712060000302,"64385 OB RILEY RD BEND, OR 97703",Pending,6/25/24,Zone Change: SM to MUA10 & EFU to MUA10
Yes,Deschutes County,247-24-000393-ZC,Zone Change,CASCADES ACADEMY OF CENTRAL OREGON,171206B000100,"64385 OB RILEY RD BEND, OR 97703",Pending,6/25/24,Zone Change: SM to MUA10 & EFU to MUA10
Yes,Deschutes County,247-24-000098-ZC,Zone Change,BCL LLC,1712360000100,"21875 NEFF RD BEND, OR 97701",Pending,2/20/24,Zone Change (EFU-TRB to MUA10)
